feature,importance
obv,0.016112983
close_lag_55,0.015436863
close_lag_18,0.014778833
close_lag_9,0.0143914735
sma_200,0.014007777
close_lag_22,0.013928822
close_lag_23,0.013747005
close_lag_24,0.013640206
close_lag_30,0.013634539
close_lag_38,0.013599861
close_lag_13,0.01358159
close_lag_44,0.013489488
close_lag_1,0.013407458
close_lag_25,0.013373531
close_lag_42,0.013341623
close_lag_50,0.013302225
close_lag_49,0.013296962
close_lag_48,0.013236711
close_lag_59,0.013232122
close_lag_17,0.013165413
close_lag_7,0.013160474
volume,0.013069702
williams_r,0.013065987
close_lag_43,0.01298121
macd_hist,0.012956521
bollinger_middle,0.012934606
ema_12,0.012898741
close_lag_45,0.012892663
close_lag_33,0.012860044
close_lag_60,0.012827951
close_lag_11,0.012583119
close_lag_47,0.012579067
close_lag_56,0.012560719
close_lag_57,0.012512164
close_lag_46,0.012478207
ema_26,0.012450512
cci,0.012425307
close_lag_31,0.012412032
close_lag_51,0.012379537
close_lag_15,0.012371057
close_lag_19,0.0123630185
close_lag_6,0.012355497
close_lag_58,0.01234831
close_lag_28,0.012303037
close_lag_39,0.012206094
close_lag_14,0.012162276
atr,0.012161886
close_lag_21,0.012157571
close_lag_52,0.012133148
close_lag_5,0.0121155875
close_lag_37,0.012093111
close_lag_53,0.01208673
close_lag_8,0.012065722
close_lag_29,0.012047017
rsi,0.011983213
close_lag_26,0.011965148
close_lag_41,0.011939638
close_lag_35,0.011909244
close_lag_36,0.011820186
close,0.011793715
close_lag_3,0.011649128
close_lag_16,0.011587164
close_lag_12,0.01152257
close_lag_27,0.01150363
mfi,0.0114732385
stoch_d,0.011419907
close_lag_34,0.01141649
macd_signal,0.011401677
close_lag_54,0.011382563
close_lag_10,0.0110599855
stoch_k,0.0109363245
close_lag_4,0.010915335
macd,0.010745675
close_lag_40,0.0107199745
sma_50,0.010610289
bollinger_upper,0.010518811
close_lag_2,0.010184403
close_lag_32,0.010091265
bollinger_lower,0.009996617
close_lag_20,0.009274353
sma_20,0.008475333
adx,0.0
