feature,importance
atr,0.016907891
bollinger_lower,0.014789788
close_lag_45,0.01447249
close_lag_54,0.014453065
close_lag_36,0.014031863
close_lag_58,0.013837948
close_lag_57,0.013836932
sma_200,0.013718723
sma_50,0.013709758
close_lag_38,0.0137025295
close_lag_34,0.013650933
close_lag_59,0.0135850655
ema_26,0.013350459
close_lag_4,0.013272167
close_lag_50,0.013253145
close_lag_40,0.013211636
close_lag_60,0.013209652
close_lag_47,0.013154781
close_lag_32,0.0130923055
close_lag_37,0.013069934
close_lag_13,0.013034535
close_lag_42,0.013032279
close_lag_17,0.013019043
close_lag_44,0.013008818
close_lag_20,0.012982134
bollinger_upper,0.012957285
close_lag_12,0.012931673
close_lag_35,0.012871958
close_lag_21,0.012817588
close_lag_24,0.012697482
close_lag_9,0.012606634
close_lag_53,0.01259188
close_lag_55,0.01252316
close_lag_15,0.012474009
close_lag_27,0.012460378
close_lag_41,0.012427262
close_lag_2,0.0124090705
close_lag_30,0.012344472
close_lag_28,0.012313089
close_lag_31,0.012239612
close_lag_51,0.012141581
close_lag_14,0.012116768
macd_signal,0.012009763
close_lag_23,0.011977619
ema_12,0.011965683
close_lag_43,0.011954257
close_lag_26,0.011907147
close_lag_11,0.011898578
close_lag_33,0.011882397
close_lag_39,0.011862062
obv,0.011817746
close_lag_49,0.011811107
close_lag_52,0.011798836
close_lag_29,0.011795542
volume,0.011794136
close_lag_5,0.011779712
close_lag_48,0.011757429
close_lag_22,0.011754527
close_lag_18,0.01174164
close_lag_6,0.011664976
close_lag_8,0.011646663
close_lag_10,0.011619472
close_lag_56,0.011608378
stoch_d,0.011605053
cci,0.011440084
mfi,0.011411081
close_lag_25,0.011386804
close_lag_46,0.011362734
macd_hist,0.011362181
close_lag_7,0.011331844
close_lag_19,0.011315933
macd,0.011302421
williams_r,0.011244823
close_lag_3,0.011214238
stoch_k,0.011026102
close_lag_1,0.010950129
close,0.010918159
close_lag_16,0.010810405
rsi,0.010655584
sma_20,0.009846826
bollinger_middle,0.008456182
adx,0.0
