feature,importance
bollinger_middle,0.023609243
close_lag_29,0.017932871
ema_12,0.017126324
sma_20,0.016615555
close_lag_28,0.016068188
close_lag_30,0.016054744
close_lag_54,0.015580157
close_lag_7,0.015384434
close_lag_12,0.014577974
close_lag_3,0.014420034
close_lag_17,0.014350264
close_lag_34,0.014158939
bollinger_lower,0.014145385
close_lag_8,0.0138418665
close_lag_13,0.013813533
close_lag_25,0.0136821205
close_lag_57,0.013623893
close_lag_35,0.013347488
close_lag_53,0.013289836
close_lag_22,0.013250269
close_lag_51,0.013197056
close_lag_48,0.013183368
sma_200,0.013132329
stoch_k,0.0131071685
close_lag_21,0.0130862
close_lag_41,0.013043724
close_lag_40,0.01295837
sma_50,0.012936089
close_lag_24,0.012806677
close_lag_27,0.012800999
close_lag_6,0.012781402
close_lag_42,0.012759524
close_lag_33,0.012739954
obv,0.012720453
close_lag_38,0.012713479
close_lag_5,0.012701711
close_lag_16,0.012599894
close_lag_39,0.012584463
close_lag_50,0.012563203
close_lag_60,0.012467979
close_lag_15,0.012375442
close_lag_49,0.012221008
macd_hist,0.012142391
close_lag_19,0.012129127
rsi,0.011933942
williams_r,0.01190465
stoch_d,0.011857783
cci,0.011846302
close_lag_32,0.011833445
close_lag_9,0.011776885
close_lag_23,0.011718196
close_lag_55,0.01170078
close_lag_37,0.011336576
close_lag_11,0.011306238
close_lag_52,0.011179512
close_lag_20,0.011079978
close_lag_56,0.011035346
close_lag_43,0.011010539
close_lag_45,0.0109582385
atr,0.010924448
close_lag_4,0.010644989
close_lag_47,0.010527756
close_lag_14,0.01048535
close_lag_36,0.010418616
close_lag_44,0.010335105
close_lag_46,0.01028432
close_lag_1,0.010176935
close,0.010175254
close_lag_58,0.010175023
bollinger_upper,0.009896201
close_lag_26,0.009845149
close_lag_18,0.009834435
close_lag_59,0.009825378
macd_signal,0.009820515
close_lag_31,0.009605162
volume,0.009402107
mfi,0.009322623
close_lag_2,0.009160758
ema_26,0.008742328
close_lag_10,0.008732868
macd,0.008561173
exchange_inflows,0.0
adx,0.0
miner_outflows,0.0
whale_exchange_supply_ratio,0.0
exchange_balance,0.0
exchange_outflows,0.0
transaction_count,0.0
active_addresses,0.0
funding_rates,0.0
open_interest,0.0
