feature,importance
atr,0.01809149
close_lag_45,0.015998505
ema_12,0.01582376
close_lag_37,0.015036507
close_lag_6,0.01404135
close_lag_46,0.013778388
close_lag_43,0.013726853
close_lag_47,0.01371949
close_lag_49,0.013685597
close_lag_25,0.013648131
close_lag_17,0.01364728
bollinger_upper,0.013619797
close_lag_35,0.013572255
close_lag_24,0.013436801
close_lag_59,0.013387636
close_lag_44,0.013335634
williams_r,0.013308548
close_lag_54,0.013273144
close_lag_57,0.013191668
close_lag_34,0.01318857
close_lag_16,0.013152042
close_lag_40,0.0130287465
close_lag_29,0.012989679
close_lag_60,0.012913737
close_lag_58,0.012845127
close_lag_30,0.012782616
close_lag_10,0.012772987
close_lag_11,0.012735731
close_lag_53,0.012676069
close_lag_50,0.01264333
close_lag_28,0.0126080625
ema_26,0.012604438
volume,0.012581662
close_lag_21,0.012579616
close_lag_8,0.012574715
close_lag_55,0.012470022
close_lag_48,0.012451029
close_lag_38,0.0124306725
stoch_d,0.01239586
close_lag_1,0.012373562
close_lag_20,0.012289223
close_lag_42,0.012277061
close_lag_31,0.012243185
close_lag_41,0.012236826
close_lag_3,0.012119943
close_lag_13,0.0121105
close_lag_36,0.012096515
close_lag_14,0.012093356
close_lag_27,0.012002555
sma_200,0.011958922
close_lag_7,0.011915424
obv,0.01190696
close_lag_23,0.011899483
sma_50,0.011885974
close_lag_5,0.01182687
close_lag_12,0.011812958
close_lag_56,0.011761172
mfi,0.011715524
rsi,0.011701451
close_lag_18,0.0116886385
stoch_k,0.011647036
close_lag_51,0.011641035
close_lag_15,0.01152186
close_lag_52,0.011505803
cci,0.011464387
macd,0.011374587
close_lag_32,0.011310207
macd_hist,0.011305071
macd_signal,0.011201904
close_lag_9,0.011169243
close_lag_33,0.011051845
close_lag_2,0.011029214
close_lag_4,0.010915424
close_lag_22,0.010840293
close,0.010753741
close_lag_19,0.010261624
sma_20,0.009993644
close_lag_26,0.009993103
close_lag_39,0.009986429
bollinger_lower,0.009802198
bollinger_middle,0.0065676775
adx,0.0
