feature,importance
bollinger_middle,0.0409366
ema_26,0.01668118
sma_20,0.015621259
sma_200,0.014876704
close_lag_23,0.014678081
bollinger_lower,0.014662114
close_lag_29,0.014587398
close_lag_28,0.014210343
close_lag_6,0.014007318
close,0.013862705
close_lag_25,0.01384034
close_lag_24,0.013807707
close_lag_1,0.013581429
close_lag_13,0.01353663
close_lag_49,0.013532194
close_lag_21,0.013422261
close_lag_8,0.013392596
bollinger_upper,0.013328043
close_lag_16,0.0132544935
close_lag_15,0.013210878
close_lag_56,0.013203118
obv,0.013076453
close_lag_9,0.013052052
close_lag_30,0.013013629
atr,0.012981831
close_lag_55,0.0129236
close_lag_5,0.012860894
close_lag_38,0.012767874
close_lag_60,0.012687289
close_lag_45,0.0126291
close_lag_18,0.01254092
close_lag_31,0.012451865
close_lag_20,0.012343506
close_lag_10,0.01231085
close_lag_2,0.012250243
close_lag_11,0.012223847
close_lag_34,0.012139796
close_lag_19,0.01201527
close_lag_17,0.011916185
volume,0.011888045
ema_12,0.011745728
williams_r,0.011729297
close_lag_4,0.01172438
close_lag_14,0.011673247
close_lag_35,0.011646308
close_lag_40,0.011566678
sma_50,0.011559153
close_lag_39,0.011382934
close_lag_7,0.01134575
close_lag_50,0.011299205
close_lag_32,0.011275484
close_lag_43,0.011259213
close_lag_44,0.01125592
close_lag_57,0.011238602
close_lag_27,0.0111763505
macd,0.011143279
close_lag_41,0.011118105
close_lag_22,0.010916181
stoch_d,0.010906899
close_lag_47,0.010869146
macd_hist,0.010850403
close_lag_12,0.010808352
close_lag_36,0.01076712
close_lag_58,0.010747896
close_lag_51,0.010705813
close_lag_3,0.01062281
close_lag_46,0.01042303
close_lag_42,0.010384121
rsi,0.010362578
close_lag_26,0.010191703
close_lag_53,0.010180947
close_lag_37,0.010177433
close_lag_52,0.010176915
cci,0.010087927
close_lag_33,0.010087348
stoch_k,0.009891849
close_lag_59,0.009859423
close_lag_48,0.009698351
close_lag_54,0.009374376
mfi,0.009253907
macd_signal,0.008209105
adx,0.0
