feature,importance
sma_50,0.019397937
ema_26,0.014531551
close_lag_50,0.014490015
close_lag_36,0.014087956
atr,0.013958482
close_lag_60,0.013897648
close_lag_34,0.013667117
ema_12,0.013486705
close_lag_27,0.013480451
close_lag_31,0.013386822
close_lag_14,0.013379707
close_lag_12,0.013365076
close_lag_38,0.013329707
close_lag_29,0.013281827
close_lag_43,0.013268922
close_lag_37,0.013256373
obv,0.013131211
close_lag_19,0.013117268
close_lag_58,0.013082916
close_lag_9,0.013074962
close_lag_48,0.013031778
close_lag_53,0.012985256
close_lag_55,0.012890974
close_lag_41,0.012880855
close_lag_7,0.012808007
close_lag_5,0.012771597
close_lag_11,0.012771076
close_lag_46,0.012764661
close_lag_44,0.012734915
close_lag_4,0.012677309
close_lag_26,0.0126592005
close_lag_21,0.01264752
close_lag_28,0.012580436
close_lag_25,0.01252548
stoch_d,0.012510259
close_lag_10,0.012508488
bollinger_middle,0.012451368
cci,0.012411962
bollinger_lower,0.01238486
close_lag_59,0.012357636
close_lag_30,0.012325953
close_lag_33,0.012202185
close_lag_8,0.012196512
close_lag_49,0.012174122
bollinger_upper,0.012165899
close_lag_47,0.012121658
close_lag_23,0.012098375
close_lag_54,0.012086017
stoch_k,0.012050235
close_lag_39,0.012003109
williams_r,0.011967824
close_lag_45,0.011950137
close_lag_17,0.011898673
close_lag_40,0.011877696
close_lag_32,0.011843294
close_lag_51,0.011822406
close_lag_57,0.011784628
close_lag_24,0.011695927
close_lag_13,0.011690577
macd_signal,0.011630802
volume,0.011620254
close_lag_20,0.011538582
close_lag_42,0.011444657
close_lag_56,0.011430994
close_lag_6,0.011391225
close_lag_35,0.011331153
close_lag_2,0.011267391
close_lag_15,0.01125422
close_lag_16,0.011184788
mfi,0.0111375535
close_lag_3,0.011095288
close_lag_18,0.011094458
sma_200,0.011011969
macd_hist,0.010848453
sma_20,0.010624543
close_lag_22,0.01050963
close_lag_1,0.010506854
close,0.010488461
rsi,0.010413491
close_lag_52,0.010334669
macd,0.00985909
adx,0.0
