feature,importance
williams_r,0.028823351
stoch_k,0.023550432
sma_200,0.018003162
stoch_d,0.016717639
obv,0.016524589
ema_26,0.015974712
close_lag_40,0.014865368
close_lag_37,0.014677371
cci,0.014487288
macd,0.013815131
close_lag_31,0.01379928
close_lag_42,0.013314246
close_lag_43,0.013297465
close_lag_6,0.01320694
close_lag_26,0.013198988
close_lag_10,0.013194314
atr,0.013148371
close_lag_12,0.013107023
close_lag_55,0.013072054
close_lag_13,0.013069697
close,0.013062972
close_lag_4,0.013051202
close_lag_38,0.012657744
close_lag_27,0.012635415
sma_50,0.012549515
close_lag_2,0.012546151
close_lag_59,0.012511688
rsi,0.0124901775
close_lag_35,0.012348343
volume,0.012280667
bollinger_lower,0.012277375
bollinger_middle,0.012224852
close_lag_54,0.012211676
close_lag_52,0.012208823
close_lag_32,0.012201065
close_lag_1,0.012181456
close_lag_46,0.0121546285
close_lag_44,0.012145433
close_lag_33,0.012101808
close_lag_16,0.012076863
close_lag_8,0.012006622
close_lag_57,0.011996646
mfi,0.011980234
close_lag_7,0.011951077
close_lag_29,0.011860023
macd_hist,0.011557781
close_lag_24,0.011507288
close_lag_22,0.011493163
close_lag_23,0.011479511
close_lag_41,0.011345009
close_lag_25,0.011261178
close_lag_30,0.011248344
ema_12,0.01123713
close_lag_21,0.011184737
macd_signal,0.011137949
close_lag_60,0.011094934
close_lag_19,0.010978034
close_lag_48,0.010960344
close_lag_28,0.010929154
close_lag_3,0.010914667
close_lag_36,0.010884553
close_lag_51,0.010847668
close_lag_47,0.010825199
close_lag_49,0.010710114
close_lag_45,0.010661765
close_lag_18,0.0106339315
close_lag_34,0.010617133
close_lag_11,0.010556245
sma_20,0.010461531
close_lag_14,0.0104568545
close_lag_17,0.010431582
close_lag_5,0.010320843
bollinger_upper,0.010097075
close_lag_56,0.010041225
close_lag_50,0.009895859
close_lag_39,0.009835015
close_lag_20,0.009574868
close_lag_58,0.009505419
close_lag_53,0.009485323
close_lag_9,0.009414273
close_lag_15,0.008854476
adx,0.0
