feature,importance
sma_50,0.01961714
ema_26,0.018611837
bollinger_upper,0.017647054
williams_r,0.016415685
sma_20,0.015562934
bollinger_lower,0.015204417
obv,0.014768241
ema_12,0.014740785
close_lag_28,0.014698202
close_lag_50,0.014691047
close,0.014420617
close_lag_10,0.0141787045
close_lag_27,0.013828601
close_lag_25,0.013784526
close_lag_31,0.013770283
macd_hist,0.013750522
close_lag_43,0.013608423
close_lag_14,0.013591491
stoch_d,0.013449678
close_lag_4,0.013388178
close_lag_30,0.0133616915
close_lag_11,0.013178816
stoch_k,0.013107244
close_lag_56,0.0130927395
close_lag_34,0.013071989
close_lag_47,0.012883248
close_lag_17,0.012882298
close_lag_39,0.012873126
close_lag_38,0.012840274
sma_200,0.012778884
close_lag_9,0.01262397
close_lag_29,0.012577734
close_lag_41,0.012479881
close_lag_40,0.012476513
close_lag_45,0.012450208
close_lag_5,0.012372622
close_lag_59,0.012241508
close_lag_15,0.012210065
macd_signal,0.012186587
close_lag_49,0.012142767
close_lag_24,0.012080291
close_lag_54,0.012067097
close_lag_13,0.012059183
close_lag_44,0.012007544
close_lag_22,0.011964068
close_lag_60,0.011927581
rsi,0.011869431
close_lag_19,0.011850359
close_lag_16,0.011837868
close_lag_8,0.011806402
close_lag_23,0.011763284
close_lag_32,0.011697791
close_lag_35,0.01168937
close_lag_51,0.011639423
close_lag_42,0.0116194645
close_lag_48,0.011509064
close_lag_36,0.011472549
mfi,0.011386451
close_lag_55,0.011328713
close_lag_46,0.0112548005
close_lag_21,0.01120609
close_lag_7,0.011193025
volume,0.0111446595
close_lag_20,0.011091995
close_lag_3,0.011025929
close_lag_1,0.01089655
cci,0.01078833
close_lag_52,0.0107714
close_lag_37,0.010767657
close_lag_2,0.010656336
close_lag_18,0.010583516
close_lag_53,0.010466832
macd,0.010142333
close_lag_12,0.010141927
close_lag_6,0.010071657
close_lag_58,0.009918558
atr,0.009874602
close_lag_26,0.009793224
close_lag_33,0.009269874
close_lag_57,0.008988666
bollinger_middle,0.0028155744
adx,0.0
