feature,importance
ema_26,0.01863833
atr,0.01679152
volume,0.015818331
close_lag_29,0.014348603
close_lag_37,0.01433721
close_lag_38,0.014224564
close_lag_8,0.014160479
williams_r,0.014037601
macd_signal,0.0139652
bollinger_lower,0.013947403
close_lag_30,0.013873439
close_lag_44,0.013788499
close_lag_23,0.013453058
bollinger_upper,0.013447739
close_lag_54,0.013433861
close_lag_60,0.013416326
close_lag_28,0.013395572
close,0.0133934915
close_lag_36,0.013303004
close_lag_15,0.012956479
close_lag_4,0.012946745
close_lag_59,0.012898119
close_lag_9,0.012725558
close_lag_39,0.012664078
close_lag_50,0.012631766
close_lag_18,0.012626518
close_lag_26,0.012622823
obv,0.012606863
close_lag_48,0.0125208385
close_lag_33,0.012441102
close_lag_35,0.012388369
macd,0.012324323
close_lag_43,0.012313146
close_lag_21,0.012243754
close_lag_32,0.012107038
close_lag_11,0.012105134
close_lag_17,0.012085336
close_lag_2,0.012073968
close_lag_13,0.012062684
close_lag_58,0.012061428
ema_12,0.012042608
close_lag_40,0.01203077
close_lag_12,0.011964976
close_lag_55,0.011941623
close_lag_6,0.011925518
close_lag_57,0.011911284
close_lag_34,0.011853995
close_lag_1,0.0118485475
bollinger_middle,0.011844387
close_lag_31,0.011828567
close_lag_42,0.011827215
close_lag_14,0.011806556
close_lag_27,0.011684744
close_lag_20,0.011648209
close_lag_49,0.011624548
stoch_d,0.011618669
close_lag_46,0.011612267
close_lag_41,0.01160357
close_lag_19,0.011594564
sma_200,0.01153495
close_lag_51,0.0115102185
close_lag_3,0.011482408
sma_50,0.011478089
close_lag_24,0.011390873
close_lag_52,0.011299739
close_lag_53,0.011285984
cci,0.0112748565
close_lag_56,0.01120357
macd_hist,0.011126521
close_lag_47,0.011036944
close_lag_10,0.011036713
mfi,0.010953379
stoch_k,0.010936788
close_lag_22,0.01092822
close_lag_7,0.010883681
close_lag_5,0.010830351
close_lag_16,0.010615874
close_lag_25,0.010473078
sma_20,0.010466337
rsi,0.010444245
close_lag_45,0.010414216
adx,0.0
